name,create_date,total_pull_requests,total_releases,last_commit_date,main_language,total_issues_closed,total_stars,total_issues_open
'JetBrainsMono',2019,54,16,'2024-08-19T14:08:13Z','Shell',460,10728,644
'OpenDiablo2',2018,792,1,'2021-10-21T13:18:36Z','Go',201,10721,67
'shotcut',2012,304,163,'2024-08-25T17:32:00Z','C++',1131,10666,46
'mysql-server',2014,0,0,'2024-07-12T19:17:15Z','C++',0,10621,494
'weaviate',2016,2666,260,'2024-08-23T11:40:19Z','Go',1869,10608,0
'nebula',2018,2610,26,'2024-08-14T08:31:00Z','C++',1953,10562,533
'minetest',2011,3494,28,'2024-08-23T16:46:12Z','C++',6459,10557,106
'openvpn',2012,0,9,'2024-08-14T18:06:24Z','C',231,10529,1180
'TensorRT',2019,266,53,'2024-08-08T20:52:35Z','C++',3347,10477,302
'prowler',2016,3576,104,'2024-08-23T14:09:32Z','Python',867,10456,33
'SpaceX-API',2017,526,22,'2022-09-19T14:31:51Z','JavaScript',484,10421,121
'vuestic-admin',2017,325,22,'2024-08-22T16:57:45Z','Vue',538,10405,63
'cdnjs',2011,5793,0,'2024-08-25T17:07:04Z','N/A',5881,10290,39
'MVPArms',2016,33,25,'2021-11-19T02:57:52Z','Java',281,10274,8
'oss-fuzz',2016,8875,0,'2024-08-22T12:02:55Z','Shell',2036,10266,4605
'QGIS',2011,22740,89,'2024-08-25T10:17:14Z','C++',27022,10262,294
'rt-thread',2013,5986,35,'2024-08-25T16:11:57Z','C',1148,10217,46
'kepler.gl',2018,1161,22,'2024-08-23T07:44:27Z','TypeScript',645,10215,2333
'azure-docs',2016,27732,0,'2024-08-25T11:21:54Z','Markdown',81637,10177,256
'lucide',2020,1379,510,'2024-08-25T16:21:49Z','JavaScript',548,10098,573
'kubescape',2021,988,176,'2024-08-21T11:04:21Z','Go',430,10047,1698
'Activiti',2012,1623,915,'2024-08-23T12:23:39Z','Java',1813,10041,136
'talent-plan',2019,214,0,'2022-07-15T06:31:15Z','Rust',81,10038,47
'wazuh',2015,6521,113,'2024-08-23T18:56:09Z','C++',14714,10018,100
'thumbor',2011,533,130,'2024-06-04T20:58:20Z','Python',983,10003,523
'webshell',2013,19,7,'2024-04-06T13:51:13Z','PHP',31,9977,10
'thunderbird-android',2011,2714,193,'2024-08-21T11:16:49Z','Kotlin',3672,9897,1
'open-source-android-apps',2015,310,0,'2024-07-12T02:20:07Z','N/A',26,9864,828
'MinerU',2024,154,74,'2024-08-21T11:34:29Z','Python',186,9840,27
'startbootstrap-sb-admin-2',2014,66,0,'2021-04-29T01:31:52Z','HTML',186,9744,69
'OpenLLM',2023,652,127,'2024-08-19T19:21:29Z','Python',242,9613,21
'open_clip',2021,248,47,'2024-07-04T19:02:40Z','Python',383,9602,78
'casdoor',2020,1158,1000,'2024-08-24T15:27:59Z','Go',1310,9586,93
'tyk',2014,3567,245,'2024-08-24T20:54:07Z','Go',1819,9517,149
'opa',2015,3747,164,'2024-08-23T20:25:17Z','Go',2223,9459,244
'darktable',2012,8689,75,'2024-08-24T17:30:20Z','C',6952,9447,377
'windmill',2022,2993,737,'2024-08-25T13:29:28Z','HTML',571,9436,346
'macdown',2014,108,37,'2021-04-30T04:22:30Z','Rich Text Format',609,9425,26
'OpenGFW',2023,49,17,'2024-05-09T00:40:55Z','Go',43,9424,504
'TrinityCore',2010,4490,92,'2024-08-25T17:03:59Z','C++',20994,9371,341
'kafka-ui',2019,1650,25,'2024-04-08T18:46:54Z','Java',1395,9355,1478
'ChatRWKV',2023,47,0,'2024-07-11T05:19:11Z','Python',87,9355,1654
'awesomo',2016,356,0,'2024-02-28T01:01:23Z','Go',37,9351,29
'doccano',2018,618,32,'2024-08-25T01:57:43Z','Python',1190,9342,0
'woocommerce',2011,16682,510,'2024-08-25T17:56:59Z','PHP',25878,9293,330
'OpenSearch',2021,7955,47,'2024-08-25T18:57:51Z','Java',3845,9290,1293
'spinnaker',2014,1409,0,'2023-09-12T08:09:58Z','Shell',5295,9272,3148
'notesnook',2021,728,219,'2024-08-23T11:43:41Z','TypeScript',4233,9236,129
'datasette',2017,333,144,'2024-08-22T02:56:02Z','Python',1257,9208,254
'laverna',2014,188,21,'2018-02-16T10:52:01Z','JavaScript',348,9177,540
'libsql',2022,1080,43,'2024-08-25T06:54:36Z','C',168,9169,438
'jsonhero-web',2022,45,0,'2024-08-22T15:32:09Z','TypeScript',51,9154,59
'nopCommerce',2014,398,59,'2024-08-23T12:24:13Z','C#',6199,9141,91
'ChakraCore',2016,4093,61,'2024-08-01T13:19:47Z','JavaScript',1632,9085,167
'activepieces',2022,3096,110,'2024-08-25T15:37:44Z','TypeScript',1134,9081,571
'React-Native-Apps',2016,189,0,'2024-08-19T15:19:17Z','N/A',13,9019,0
'openproject',2012,14465,113,'2024-08-25T03:05:13Z','Ruby',0,8974,1
'machinelearning',2018,2734,33,'2024-08-08T00:12:44Z','C#',2914,8973,246
'fastdfs',2013,18,0,'2024-05-15T06:23:35Z','C',204,8966,925
'byob',2017,120,0,'2024-07-05T20:22:32Z','Python',497,8905,477
'Red-Teaming-Toolkit',2018,17,0,'2024-03-25T12:08:31Z','N/A',14,8903,10
'FerretDB',2021,2013,57,'2024-08-23T15:52:01Z','Go',917,8898,0
'Winds',2016,309,0,'2021-09-02T07:29:34Z','JavaScript',313,8891,454
'mihon',2024,279,6,'2024-08-25T16:07:14Z','Kotlin',549,8882,402
'gridstudio',2019,14,0,'2023-05-15T17:18:45Z','JavaScript',93,8875,0
'my-arsenal-of-aws-security-tools',2018,73,0,'2023-07-31T08:36:04Z','Shell',32,8867,1
'openebs',2016,1164,61,'2024-08-20T22:44:12Z','N/A',2152,8862,27
'mosquitto',2016,244,0,'2023-10-06T15:20:43Z','C',1725,8822,38
'manticoresearch',2017,448,44,'2024-08-21T18:58:56Z','C++',1265,8804,736
'Fay',2022,3,0,'2024-08-07T10:31:52Z','N/A',26,8803,84
'pycaret',2019,843,29,'2024-08-01T03:34:44Z','Jupyter Notebook',1947,8768,475
'GDevelop',2014,3349,214,'2024-08-23T18:30:45Z','JavaScript',2424,8755,362
'uno',2018,8009,46,'2024-08-25T13:23:03Z','C#',4922,8744,65
'autoware',2015,1325,1,'2024-08-23T12:15:21Z','Shell',134,8738,1622
'Aegis',2016,375,62,'2024-08-23T21:08:35Z','Java',937,8717,44
'mRemoteNG',2010,387,54,'2024-08-05T12:35:58Z','C#',1288,8713,846
'how-to-contribute-to-open-source',2016,395,0,'2024-06-14T15:43:31Z','Ruby',203,8693,33
